run_id,_path,DATASET,METHOD,TRADE_METHOD,TOP N,STOP LOSS %,MAX SEC %,Final_Equity,RCC_Raw,REC_Raw,Cum_Ret_Raw,Ann_Ret_Raw,Sharpe_Raw,Sortino_Raw,Calmar_Raw,MDD_Raw,Win_Rate,Profit_Factor,Avg_Trade_Days,Entries,Exits,Stop_Losses,Forced_Closes,Gross_Profit,Gross_Loss,Avg_Utilization,Ann_Ret_Employed,Excess_Ret_RF,ENTRY Z,DYN Z NUM
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top1_SL15_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 1,15%,0%,18136.94219999995,0.8136942199999949,0.004130427512690329,0.8136942199999952,0.02410046364291296,0.275436468321744,0.43381882090217644,0.10206262308587828,-0.236134080373715,0.42554858934169276,1.3265607921794214,32.02036199095023,821,664,0,157,33054.024699999994,-24917.082499999997,0.5727957160277822,0.05694014257601668,0.021159155416997835,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top1_SL5_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 1,5%,0%,17989.722800000014,0.7989722800000013,0.004055696852791885,0.7989722800000023,0.023766652111439024,0.27131079533563285,0.4270332119512649,0.10064897059257602,-0.236134080373715,0.4370909090909091,1.2968569806507295,32.09395973154363,872,716,0,156,34904.1069,-26914.384099999996,0.5777000159058374,0.05543530136563886,0.020470974162557706,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top1_SL0_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 1,0%,0%,18281.07089999997,0.8281070899999972,0.004161342160804006,0.8281070899999967,0.024424756805377923,0.27692782820272543,0.43614671675199274,0.10343596640824718,-0.236134080373715,0.4300202839756592,1.316975850593355,32.02625820568928,927,767,0,160,34406.3132,-26125.242299999998,0.5928105614760617,0.05599221536892923,0.02133656540162228,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top3_SL5_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 3,5%,0%,13098.505299999993,0.30985052999999946,0.0022132180714285674,0.30869491313085873,0.010819325783586908,0.29575199086967674,0.42035440749715675,0.1047936593764722,-0.10324408793396916,0.3697585768742058,1.1413008717439421,34.45464025026069,3920,3621,0,299,25026.928399999997,-21928.4231,0.4406358800346394,0.028185741583876413,0.003606931446547527,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top3_SL15_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 3,15%,0%,12400.015300000006,0.2400015300000006,0.0016941284470588277,0.2389075374771812,0.008606019609702864,0.2539604934458263,0.35215845819169,0.0833560524570369,-0.10324408793396916,0.35906040268456374,1.1120090931762425,34.37789473684211,4254,3957,0,297,23826.9837,-21426.968399999998,0.4387448526942721,0.021925982157056306,0.0008450147577894664,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top3_SL0_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 3,0%,0%,12479.7432,0.24797432,0.0017504069647058822,0.24687329347566278,0.008864622195882355,0.25836134578532577,0.3576502409486692,0.0858608214114092,-0.10324408793396916,0.36122520830888394,1.1034805623494082,32.8186372745491,4657,4353,0,304,26443.115100000003,-23963.3719,0.44768746796741066,0.02220183399167045,0.0009857334846155204,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top5_SL5_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 5,5%,0%,12311.946099999992,0.2311946099999992,0.0017488245839636853,0.23054263159750055,0.008332735014048742,0.30804514080744105,0.44476592080916344,0.1172064604351712,-0.07109450266743371,0.3668104333538714,1.1007931393009704,35.77770404777704,7933,7482,0,451,25249.480499999998,-22937.534399999997,0.4291819097608823,0.02159202514700788,0.0006832683929801908,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top5_SL0_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 5,0%,0%,11866.7478,0.18667477999999993,0.0013889492559523806,0.18604637704804716,0.006848359641498769,0.24792185697878552,0.3499823678945465,0.08650780887964098,-0.07916464109068984,0.37176062946654154,1.0834453366936028,36.37109375,7553,7083,0,470,24237.654000000002,-22370.906199999998,0.440167541487726,0.016999052478920737,-0.001320919692487146,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top5_SL15_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 5,15%,0%,12393.5831,0.23935830999999994,0.0018817477201257856,0.23870200851482637,0.008599326155955156,0.3144467946954133,0.45147416733112644,0.1392239753315267,-0.061766129974941714,0.3641944103415902,1.1103252995028543,34.67654986522911,7503,7063,0,440,24089.269500000002,-21695.6864,0.4154763798313981,0.02309187784541173,0.0012846022140925693,2.0,0.0
1,tiingo/SSD_Rolling_DRL_THR/TradeLogs_Top10_SL0_ZWin0_MSR0.csv,Tiingo,SSD (Rolling-DRL-THR),DRL,Top 10,0%,0%,12280.6302,0.22806301999999992,0.001937663721325403,0.22785520550646865,0.008244557185332457,0.39190031610209053,0.6310688325821115,0.13180734758419108,-0.06255005761394523,0.35772282708986897,1.0935736007019758,38.14057142857143,17294,16484,0,810,26653.211600000002,-24372.5814,0.3824558613010975,0.023901801222707415,0.0014922667472562403,2.0,0.0
