date,Daily_Return,Cumulative_Value
2000-01-03,0.0,10000.0
2000-01-04,0.0,10000.0
2000-01-05,0.0,10000.0
2000-01-06,0.0,10000.0
2000-01-07,0.0,10000.0
2000-01-10,0.0,10000.0
2000-01-11,0.0,10000.0
2000-01-12,0.0,10000.0
2000-01-13,0.0,10000.0
2000-01-14,0.0,10000.0
2000-01-18,0.0,10000.0
2000-01-19,0.0,10000.0
2000-01-20,0.0,10000.0
2000-01-21,0.0,10000.0
2000-01-24,0.0,10000.0
2000-01-25,0.0,10000.0
2000-01-26,0.0,10000.0
2000-01-27,0.0,10000.0
2000-01-28,0.0,10000.0
2000-01-31,0.0,10000.0
2000-02-01,0.0,10000.0
2000-02-02,0.0,10000.0
2000-02-03,0.0,10000.0
2000-02-04,0.0,10000.0
2000-02-07,0.0,10000.0
2000-02-08,0.0,10000.0
2000-02-09,0.0,10000.0
2000-02-10,0.0,10000.0
2000-02-11,0.0,10000.0
2000-02-14,0.0,10000.0
2000-02-15,0.0,10000.0
2000-02-16,0.0,10000.0
2000-02-17,0.0,10000.0
2000-02-18,0.0,10000.0
2000-02-22,0.0,10000.0
2000-02-23,0.0,10000.0
2000-02-24,0.0,10000.0
2000-02-25,0.0,10000.0
2000-02-28,0.0,10000.0
2000-02-29,0.0,10000.0
2000-03-01,0.0,10000.0
2000-03-02,0.0,10000.0
2000-03-03,0.0,10000.0
2000-03-06,0.0,10000.0
2000-03-07,0.0,10000.0
2000-03-08,0.0,10000.0
2000-03-09,0.0,10000.0
2000-03-10,0.0,10000.0
2000-03-13,0.0,10000.0
2000-03-14,0.0,10000.0
2000-03-15,0.0,10000.0
2000-03-16,0.0,10000.0
2000-03-17,0.0,10000.0
2000-03-20,0.0,10000.0
2000-03-21,0.0,10000.0
2000-03-22,0.0,10000.0
2000-03-23,0.0,10000.0
2000-03-24,0.0,10000.0
2000-03-27,0.0,10000.0
2000-03-28,0.0,10000.0
2000-03-29,0.0,10000.0
2000-03-30,0.0,10000.0
2000-03-31,0.0,10000.0
2000-04-03,0.0,10000.0
2000-04-04,0.0,10000.0
2000-04-05,0.0,10000.0
2000-04-06,0.0,10000.0
2000-04-07,0.0,10000.0
2000-04-10,0.0,10000.0
2000-04-11,0.0,10000.0
2000-04-12,0.0,10000.0
2000-04-13,0.0,10000.0
2000-04-14,0.0,10000.0
2000-04-17,0.0,10000.0
2000-04-18,0.0,10000.0
2000-04-19,0.0,10000.0
2000-04-20,0.0,10000.0
2000-04-24,0.0,10000.0
2000-04-25,0.0,10000.0
2000-04-26,0.0,10000.0
2000-04-27,0.0,10000.0
2000-04-28,0.0,10000.0
2000-05-01,0.0,10000.0
2000-05-02,0.0,10000.0
2000-05-03,0.0,10000.0
2000-05-04,0.0,10000.0
2000-05-05,0.0,10000.0
2000-05-08,0.0,10000.0
2000-05-09,0.0,10000.0
2000-05-10,0.0,10000.0
2000-05-11,0.0,10000.0
2000-05-12,0.0,10000.0
2000-05-15,0.0,10000.0
2000-05-16,0.0,10000.0
2000-05-17,0.0,10000.0
2000-05-18,0.0,10000.0
2000-05-19,0.0,10000.0
2000-05-22,0.0,10000.0
2000-05-23,0.0,10000.0
2000-05-24,0.0,10000.0
2000-05-25,0.0,10000.0
2000-05-26,0.0,10000.0
2000-05-30,0.0,10000.0
2000-05-31,0.0,10000.0
2000-06-01,0.0,10000.0
2000-06-02,0.0,10000.0
2000-06-05,0.0,10000.0
2000-06-06,0.0,10000.0
2000-06-07,0.0,10000.0
2000-06-08,0.0,10000.0
2000-06-09,0.0,10000.0
2000-06-12,0.0,10000.0
2000-06-13,0.0,10000.0
2000-06-14,0.0,10000.0
2000-06-15,0.0,10000.0
2000-06-16,0.0,10000.0
2000-06-19,0.0,10000.0
2000-06-20,0.0,10000.0
2000-06-21,0.0,10000.0
2000-06-22,0.0,10000.0
2000-06-23,0.0,10000.0
2000-06-26,0.0,10000.0
2000-06-27,0.0,10000.0
2000-06-28,0.0,10000.0
2000-06-29,0.0,10000.0
2000-06-30,0.0,10000.0
2000-07-03,0.0,10000.0
2000-07-05,0.0,10000.0
2000-07-06,0.0,10000.0
2000-07-07,0.0,10000.0
2000-07-10,0.0,10000.0
2000-07-11,0.0,10000.0
2000-07-12,0.0,10000.0
2000-07-13,0.0,10000.0
2000-07-14,0.0,10000.0
2000-07-17,0.0,10000.0
2000-07-18,0.0,10000.0
2000-07-19,0.0,10000.0
2000-07-20,0.0,10000.0
2000-07-21,0.0,10000.0
2000-07-24,0.0,10000.0
2000-07-25,0.0,10000.0
2000-07-26,0.0,10000.0
2000-07-27,0.0,10000.0
2000-07-28,0.0,10000.0
2000-07-31,0.0,10000.0
2000-08-01,0.0,10000.0
2000-08-02,0.0,10000.0
2000-08-03,0.0,10000.0
2000-08-04,0.0,10000.0
2000-08-07,0.0,10000.0
2000-08-08,0.0,10000.0
2000-08-09,0.0,10000.0
2000-08-10,0.0,10000.0
2000-08-11,0.0,10000.0
2000-08-14,0.0,10000.0
